Iteration,dLoss,LossBefore,MinReturn,StdReturn,MeanKL,MeanKLBefore,MaxReturn,AverageDiscountedReturn,Entropy,AverageReturn,ExplainedVariance,NumTrajs,LossAfter,Perplexity
10,0.0595952450629,3.66099023858e-18,0,1.5306856051,0.00999352826454,0.0,10,4.5049833887,1.68830056416,4.5049833887,0.433855499481,301,-0.0595952450629,5.41027846693
11,0.0549092279348,-6.13624387894e-17,0,1.64001433782,0.00994597936591,0.0,10,4.41580756014,1.7101560899,4.41580756014,0.41857758988,291,-0.0549092279348,5.52982456005
12,0.0636411754333,-1.6073749746e-16,1,1.6835628074,0.00991853647634,0.0,11,4.51827242525,1.67376361977,4.51827242525,0.417587739854,301,-0.0636411754333,5.33219844714
13,0.0606734390198,-9.31190554853e-18,2,1.4818096501,0.00994932727859,0.0,10,4.50169491525,1.6760733492,4.50169491525,0.462305322706,295,-0.0606734390198,5.34452861704
14,0.0618041933717,-1.01851256265e-16,2,1.58859003649,0.00982012986761,0.0,12,4.47491638796,1.67928563574,4.47491638796,0.443106801873,299,-0.0618041933717,5.36172437842
15,0.046599072698,-3.3680923219e-17,0,1.725273534,0.00643357074891,0.0,11,4.49134948097,1.69913615757,4.49134948097,0.40691520382,289,-0.046599072698,5.46922080553
16,0.0558492486447,1.62444617336e-17,0,1.60112702682,0.00997817160432,0.0,10,4.42176870748,1.69369160936,4.42176870748,0.371631365182,294,-0.0558492486447,5.4395242846
17,0.0585766622948,3.84819996669e-17,0,1.6262580476,0.0099725250464,0.0,11,4.29109589041,1.6794202081,4.29109589041,0.36928257561,292,-0.0585766622948,5.36244596688
18,0.0599328494421,3.65551108133e-17,0,1.69092509162,0.00997731636606,0.0,11,4.49337748344,1.66453186959,4.49337748344,0.428921588831,302,-0.0599328494421,5.28319944443
19,0.0460040764253,-4.97896375156e-17,1,1.69095305145,0.00643795394852,0.0,11,4.60333333333,1.67153579733,4.60333333333,0.441608224755,300,-0.0460040764253,5.32033247832
20,0.0520473581872,3.80919434405e-17,0,1.64397598795,0.00647788739619,0.0,10,4.50675675676,1.67435363441,4.50675675676,0.387912346101,296,-0.0520473581872,5.33534545061
21,0.0627082949613,-1.13180761982e-17,0,1.61148263001,0.00995519511772,0.0,9,4.40604026846,1.65059325753,4.40604026846,0.397576329166,298,-0.0627082949613,5.21006982368
